iter	Logloss
0	0.5617784245
1	0.4713333834
2	0.4062394839
3	0.3575699099
4	0.3202559317
5	0.2908429312
6	0.2680271188
7	0.2494071834
8	0.2344794194
9	0.2220832386
10	0.2114693177
11	0.203172532
12	0.1953575554
13	0.1885171073
14	0.1827961137
15	0.1776513967
16	0.1731330248
17	0.1691325281
18	0.1653495651
19	0.1620834498
20	0.1596298943
21	0.1568022245
22	0.1545143768
23	0.1521852262
24	0.1503974063
25	0.1487196208
26	0.146828159
27	0.1457091711
28	0.144135945
29	0.1424578663
30	0.1413898752
31	0.1402422419
32	0.1392494977
33	0.1385616717
34	0.1374363041
35	0.1365917864
36	0.1358139602
37	0.1346816209
38	0.1341158027
39	0.1333855672
40	0.1326769433
41	0.1316462452
42	0.1309434938
43	0.1301095932
44	0.1297264573
45	0.1288810507
46	0.128240754
47	0.1278992895
48	0.1273416662
49	0.1268857239
50	0.1263254817
51	0.1258527182
52	0.1252391908
53	0.1248235577
54	0.1243601919
55	0.1239753947
56	0.1236635271
57	0.1231296277
58	0.122594004
59	0.1223188643
60	0.1219929373
61	0.1213991838
62	0.1208932305
63	0.1204996772
64	0.1201319533
65	0.1199533201
66	0.1196786766
67	0.1194240589
68	0.1190587025
69	0.1187123121
70	0.1182593609
71	0.1180074152
72	0.1176385106
73	0.1172649928
74	0.1170071215
75	0.1167192949
76	0.1163394084
77	0.1160885991
78	0.1158755597
79	0.1156304343
80	0.1154142099
81	0.1152749333
82	0.1149848285
83	0.1147740036
84	0.1146312145
85	0.1144547672
86	0.1142672802
87	0.1141164607
88	0.1138690905
89	0.1137661953
90	0.1134787566
91	0.1133162682
92	0.113008549
93	0.1128675335
94	0.1126365061
95	0.1123591471
96	0.112187683
97	0.112039008
98	0.1118145902
99	0.1117378658
100	0.1115918496
101	0.1114074562
102	0.1112203528
103	0.1111178993
104	0.1109884846
105	0.110772375
106	0.1105748918
107	0.1104317198
108	0.1102704235
109	0.1101110034
110	0.109957788
111	0.1097819135
112	0.1096771519
113	0.10950766
114	0.1093407392
115	0.1092875589
116	0.109227801
117	0.1090879025
118	0.1089765789
119	0.1088322778
120	0.1087004349
121	0.1086166473
122	0.1085244732
123	0.1084885139
124	0.1083739043
125	0.1082398821
126	0.1081276277
127	0.1080087564
128	0.1078501223
129	0.1077248946
130	0.1076025297
131	0.1075363569
132	0.1074986366
133	0.1074663232
134	0.107346058
135	0.1072199612
136	0.1070719679
137	0.1069820956
138	0.1069125533
139	0.1067888991
140	0.1066847725
141	0.106508287
142	0.1064209219
143	0.1062464962
144	0.1061658813
145	0.1060623526
146	0.1060088224
147	0.1059545878
148	0.1058750113
149	0.105746534
150	0.1056906455
151	0.1056378443
152	0.1055656732
153	0.105452458
154	0.10541683
155	0.1053303056
156	0.1052575358
157	0.1052567611
158	0.105202336
159	0.1051415783
160	0.1050598904
161	0.1050244629
162	0.1049890075
163	0.1049209943
164	0.1048743846
165	0.1047955582
166	0.1047142711
167	0.1047138413
168	0.1046851594
169	0.1046054621
170	0.104552284
171	0.1045486359
172	0.1045453492
173	0.1044567464
174	0.1043953149
175	0.1042894609
176	0.1041804746
177	0.1041093865
178	0.1040610807
179	0.103996768
180	0.1038859922
181	0.1038253256
182	0.103759928
183	0.1037051201
184	0.1036169148
